LOCALITY_NAME,PRICE,PRICE_PER_SQFT,AREA,LATITUDE,LONGITUDE,LOG_PRICE
bandra east,88250000.0,53473.076875,1676.75,19.0616565,72.8498111,18.295684265109124
bandra kurla complex,91312500.0,34810.82875,2643.25,19.067115,72.8657245,18.329798258426596
bandra west,123875000.0,63755.64083333333,1830.75,19.0583358,72.8302669,18.63478355868708
belapur,19940000.0,18231.64,1037.0,19.6197639,74.6599008,16.808238372648418
bevarly park,7900000.0,9069.655,881.5,19.2936,72.8715,15.882373444019521
bhadra nagar,5597857.142857143,10740.557142857142,521.2857142857143,19.1883,73.0862,15.53789460805356
bhandup west,14970428.57142857,20861.2725,827.3928571428571,19.1462636,72.9339461,16.521587451470314
bhayandarpada,5600000.0,10546.14,531.0,19.2861,72.9505,15.53827733427679
bhayander east,6500000.0,10078.125,645.0,19.3053025,72.8557264,15.687312888712007
bhayander west,9400000.0,19624.22,479.0,19.300674,72.8498149,16.056220353623207
bhivpuri,1400000.0,4000.0,350.0,18.9369773,73.4338403,14.151983508870947
